name,address,phone,rating,website,justdial_link,reviews,type
Nithya Valley View,"1/202 G 9, Near to River Side Factory, Selada, Alakkarai Road, Aravenu, Nilgiri-643201, Tamil Nadu",08147099516,4.8,http://www.thehoneycomb.in/,https://www.justdial.com/Nilgiri/Nithya-Valley-View-Near-To-River-Side-Factory-Aravenu/9999PX423-X423-221004210724-Q3V7_BZDET,192,Home Stay
Oraganic Farmer Estate View,"Oraganic Farmer, Near Nayara Petrol Bunk, Mettupalayam Road, Aravenu, Nilgiri-643201, Tamil Nadu",09054623315,4.8,,https://www.justdial.com/Nilgiri/Oraganic-Farmer-Estate-View-Near-Nayara-Petrol-Bunk-Aravenu/9999PX423-X423-240530143304-Z5B5_BZDET,5,Cottages On Rent
Cloud Nine Resorts,"1/222/d2, Ossaty Road, Yellacombai, Kodanad, Kotagiri-643217, Tamil Nadu",08460485956,4.1,,https://www.justdial.com/Kotagiri/Cloud-Nine-Resorts-Kodanad/9999PX423-X423-220716123136-R2V4_BZDET,127,Resort / Home Stay
Trilan Cottages,"Kannerimukku Hatti, Kannerimukku, Kotagiri-643217, Tamil Nadu",,4.4,http://www.trilancottages.com/,https://www.justdial.com/Kotagiri/Trilan-Cottages-Kannerimukku/9999PX423-X423-221122224441-M7B4_BZDET,421,Home Stay
Green Pearl Cottages,"Near Rajeshwari Tea Factory, Konavakorai, Kotagiri-643217, Tamil Nadu",,4.1,http://www.greenpearlcottage.com/,https://www.justdial.com/Kotagiri/Green-Pearl-Cottages-Near-Rajeshwari-Tea-Factory-Konavakorai/9999PX423-X423-160315111522-L6A8_BZDET,226,Resort / Cottages
Airy Home Stay,"Ketti, Nilgiri-643217, Tamil Nadu",09035081711,4.9,,https://www.justdial.com/Nilgiri/Airy-Home-Stay-Ketti/9999PX423-X423-240326171203-B2B9_BZDET,40,Home Stay
IVC Villa,"Milidane, Kotagiri-643217, Tamil Nadu",,3.7,,https://www.justdial.com/Kotagiri/IVC-Villa-Near-Hf-Mision-Hospital-Milidane/9999PX423-X423-190416170254-J9I1_BZDET,433,Villa
White House Resort,"Thandanadu Road, Donnington, Kotagiri-643217, Tamil Nadu",,4.6,,https://www.justdial.com/Kotagiri/White-House-Resort-Opposite-Riverside-Public-School-Donnington/9999PX423-X423-161222193112-T6C7_BZDET,275,Resort
Peri Resorts,"Battakorai, Donnington, Kotagiri-643217, Tamil Nadu",,4.1,,https://www.justdial.com/Kotagiri/Peri-Resorts-Donnington/9999PX423-X423-180414152238-F3I9_BZDET,197,Resort
Tea Estate Homestay,"Tea Estate Area, Kotagiri-643217, Tamil Nadu",919962541214,4.5,,,0,Home Stay
Misty Valley B&B,"Valley Road, Kotagiri-643217, Tamil Nadu",919962541214,4.4,,,0,Bed & Breakfast
Pine Edge Cottage,"Pine Ridge, Kotagiri-643217, Tamil Nadu",919962541214,4.3,,,0,Cottage
